time,et_month_CNRM-CM5_rcp85
2048-01-31 00:00:00+00:00,0.57066435
2048-02-29 00:00:00+00:00,0.7175731
2048-03-31 00:00:00+00:00,0.75037366
2048-04-30 00:00:00+00:00,0.4738775
2048-05-31 00:00:00+00:00,0.21201858
2048-06-30 00:00:00+00:00,0.10850893
2048-07-31 00:00:00+00:00,0.14954448
2048-08-31 00:00:00+00:00,0.101000026
2048-09-30 00:00:00+00:00,0.10275214
2048-10-31 00:00:00+00:00,0.29164112
2048-11-30 00:00:00+00:00,0.64023656
2048-12-31 00:00:00+00:00,0.24183801
2049-01-31 00:00:00+00:00,0.5560091
2049-02-28 00:00:00+00:00,0.74382854
2049-03-31 00:00:00+00:00,0.6423626
2049-04-30 00:00:00+00:00,0.36097336
2049-05-31 00:00:00+00:00,0.22145557
2049-06-30 00:00:00+00:00,0.040763885
2049-07-31 00:00:00+00:00,0.019364754
2049-08-31 00:00:00+00:00,0.38227385
2049-09-30 00:00:00+00:00,0.884465
2049-10-31 00:00:00+00:00,0.53342164
2049-11-30 00:00:00+00:00,0.15215924
2049-12-31 00:00:00+00:00,0.25318357
2050-01-31 00:00:00+00:00,0.27009505
2050-02-28 00:00:00+00:00,1.0485345
2050-03-31 00:00:00+00:00,0.96360606
2050-04-30 00:00:00+00:00,0.7027538
2050-05-31 00:00:00+00:00,0.25164336
2050-06-30 00:00:00+00:00,0.21658619
2050-07-31 00:00:00+00:00,0.20857237
2050-08-31 00:00:00+00:00,0.018501831
2050-09-30 00:00:00+00:00,0.036749676
2050-10-31 00:00:00+00:00,0.7091505
2050-11-30 00:00:00+00:00,0.5624147
2050-12-31 00:00:00+00:00,0.45106348
2051-01-31 00:00:00+00:00,0.9057559
2051-02-28 00:00:00+00:00,1.0743179
2051-03-31 00:00:00+00:00,1.4163376
2051-04-30 00:00:00+00:00,1.0156356
2051-05-31 00:00:00+00:00,0.41376153
2051-06-30 00:00:00+00:00,0.1694571
2051-07-31 00:00:00+00:00,0.012883222
2051-08-31 00:00:00+00:00,0.017125838
2051-09-30 00:00:00+00:00,0.041915778
2051-10-31 00:00:00+00:00,0.009088434
2051-11-30 00:00:00+00:00,0.0029112766
2051-12-31 00:00:00+00:00,0.18645398
2052-01-31 00:00:00+00:00,0.5226577
2052-02-29 00:00:00+00:00,0.7609246
2052-03-31 00:00:00+00:00,0.9472168
2052-04-30 00:00:00+00:00,0.5104083
2052-05-31 00:00:00+00:00,0.31935534
2052-06-30 00:00:00+00:00,0.09678688
2052-07-31 00:00:00+00:00,0.35016304
2052-08-31 00:00:00+00:00,0.9035885
2052-09-30 00:00:00+00:00,0.5268088
