boundary,counties
feature,"San Bernardino County, California"
feature id,36
center,"-115.967, 34.8403"
scenario,High (RCP 8.5)
climate indicator,Maximum Temperature
units,°F

year,Modeled RCP 8.5 Range Min,Modeled RCP 8.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
2063,81.4848937988,88.9089584351,,83.9058380127,85.0748443604,87.0164031982,85.6775512695
2064,81.7514190674,89.4932098389,,85.7400665283,86.0459213257,88.0164794922,84.5317306519
2065,82.2770080566,88.5882110596,,86.7050476074,84.8418731689,86.9787750244,83.7208251953
2066,82.1263885498,88.5908508301,,87.1317596436,86.4363250732,88.5761871338,83.1284484863
2067,82.6233520508,89.2413482666,,87.4909515381,85.0333099365,88.7096710205,84.5605163574
2068,82.047668457,88.7961883545,,83.6034393311,86.5482177734,87.8427886963,86.0795440674
2069,81.9651641846,91.7083892822,,87.2911682129,86.0054931641,88.7714691162,87.8535614014
2070,82.0416259766,90.832824707,,88.119644165,82.8759765625,89.2088851929,86.2260971069
2071,82.1346282959,89.3344573975,,85.2579803467,86.9307098389,86.6988983154,83.9430847168
2072,82.7927093506,90.7185211182,,85.7299499512,83.5068664551,88.8025512695,87.1798248291
2073,83.4988555908,89.3000183105,,88.5339355469,84.481628418,87.727432251,86.0920639038
2074,82.6800384521,89.9682617188,,86.1130981445,85.4615020752,86.8401184082,86.892578125
2075,81.6725921631,91.2359771729,,87.3645553589,84.9217453003,88.4818115234,86.994430542
2076,81.5687713623,90.2128753662,,88.8516693115,87.8946990967,86.6736297607,84.7799682617
2077,82.6342315674,89.8988800049,,88.7663574219,84.2771759033,87.3477478027,86.293548584
2078,83.3832244873,92.8824920654,,88.2967987061,86.7725067139,88.4831237793,88.2117614746
2079,84.2984313965,92.2232589722,,86.4404907227,85.4561767578,89.4403076172,87.7604980469
2080,83.0177001953,90.6035995483,,84.9716186523,84.1244125366,88.5475616455,84.2313690186
2081,82.1402816772,91.1264343262,,89.7956695557,86.691696167,87.864654541,87.0877532959
2082,82.6723480225,92.4594116211,,87.1073608398,85.2913208008,89.3230895996,86.6772460938
2083,83.2763824463,91.8733444214,,86.0081787109,86.2749862671,91.0289916992,86.879119873
2084,82.4463043213,91.4049377441,,87.5399017334,85.1785507202,91.3750610352,88.6421051025
2085,83.8359680176,91.0357971191,,87.643661499,87.0549621582,88.795135498,85.6765060425
2086,84.094909668,91.1557769775,,88.8658905029,86.6340179443,88.430229187,87.9287567139
2087,84.3377685547,91.2543182373,,88.437210083,86.5427246094,88.1896820068,87.7557830811
2088,83.8339385986,92.5126953125,,90.293838501,85.7975158691,89.3641204834,87.4292144775
2089,85.2422180176,92.166519165,,87.359664917,85.342956543,88.7506408691,88.722076416
2090,84.3694610596,95.0628967285,,87.9245834351,86.5708465576,88.9521331787,86.48487854
2091,84.7847442627,91.5434799194,,87.7441864014,87.1509857178,88.0284576416,85.7285766602
2092,83.7976837158,95.1176605225,,88.2085266113,87.3530197144,90.5809173584,87.9886322021
2093,84.2470245361,91.6085205078,,89.3532409668,86.5118560791,90.0166015625,88.7327880859
2094,85.0084228516,94.0281524658,,89.8543319702,87.5457763672,90.1635971069,90.2526397705
2095,83.3008728027,92.0195159912,,89.7145843506,85.4339294434,90.5340576172,87.2143707275
2096,84.8187484741,94.1243286133,,92.0225372314,88.130355835,89.985458374,88.6093063354
2097,85.3284606934,93.6678009033,,89.4799194336,87.6510772705,88.5592651367,87.5391845703
2098,85.5673065186,92.5107116699,,90.1738128662,88.6698913574,91.7130584717,88.5117492676
2099,84.6329193115,94.5705413818,,88.8557891846,87.8780059814,90.2358322144,90.6358947754
2100,85.456451416,93.7599182129,,90.5349349976,88.1777038574,,
